name;money;skill;cheat;awarness
Invest970;1733;90;44;92
Invest526;754;39;1;62
Invest80;674;35;34;94
Invest193;946;49;22;21
Invest12;252;13;98;14
Invest902;735;38;94;65
Invest995;654;34;13;96
Invest851;1815;94;35;46
Invest388;254;13;45;11
Invest876;305;16;83;85
Invest269;1934;100;82;47
Invest44;775;40;50;48
Invest645;828;43;26;5
Invest883;925;48;4;81
Invest324;1907;99;82;12
Invest796;345;18;78;1
Invest963;734;38;75;18
Invest725;1213;63;30;80
Invest959;1389;72;96;25
Invest869;596;31;33;6
Invest934;714;37;72;25
Invest349;1836;95;80;81
Invest276;100;1;9;41
Invest613;1524;79;23;92
Invest812;1078;56;57;77
Invest436;905;47;79;94
Invest501;1723;89;78;68
Invest847;946;49;44;97
Invest215;324;17;95;15
Invest122;755;39;3;30
Invest684;504;26;39;80
Invest735;1525;79;100;20
Invest164;1906;99;96;42
Invest385;773;40;7;33
Invest880;504;26;87;36
Invest540;98;1;55;55
Invest241;1524;79;42;81
Invest718;867;45;81;64
Invest353;99;3;64;68
Invest404;306;16;35;29
Invest41;1333;69;100;57
Invest533;1045;54;58;78
Invest691;100;5;46;47
Invest779;114;6;28;70
Invest988;1065;55;1;46
Invest366;464;24;1;64
Invest392;864;45;18;87
Invest183;325;17;15;23
Invest234;774;40;1;82
Invest439;1024;53;58;71
Invest529;1834;95;97;68
Invest179;1757;91;94;31
Invest157;100;2;86;38
Invest992;465;24;77;81
Invest417;1194;62;37;80
Invest118;1485;77;61;54
Invest509;829;43;63;38
Invest421;1424;74;47;59
Invest449;445;23;72;58
Invest931;1525;79;52;73
Invest969;115;6;6;80
Invest893;1737;90;8;3
Invest577;98;2;58;67
Invest95;1099;57;7;95
Invest176;1674;87;39;93
Invest722;812;42;82;16
Invest738;1309;68;32;42
Invest630;100;3;8;74
Invest584;1367;71;52;93
Invest18;1354;70;48;6
Invest946;1834;95;32;68
Invest259;96;1;65;92
Invest802;524;27;21;86
Invest22;676;35;95;78
Invest59;1582;82;66;96
Invest648;1314;68;67;100
Invest103;97;1;54;78
Invest861;1235;64;39;35
Invest886;1155;60;8;85
Invest513;100;5;51;51
Invest263;1775;92;9;81
Invest662;1888;98;89;25
Invest337;755;39;42;18
Invest973;614;32;15;32
Invest225;1435;74;20;34
Invest266;615;32;68;23
Invest536;1694;88;16;37
Invest898;615;32;45;95
Invest66;465;24;33;46
Invest147;1465;76;95;43
Invest539;1774;92;84;62
Invest427;794;41;43;13
Invest864;1094;57;44;3
Invest446;484;25;21;15
Invest565;1563;81;23;32
Invest771;754;39;67;88
Invest128;1855;96;45;47
Invest292;134;7;98;4
Invest752;654;34;31;24
Invest308;1375;71;74;69
Invest591;304;16;61;17
Invest173;674;35;97;53
Invest200;1666;86;94;1
Invest431;154;8;74;16
Invest998;1102;57;98;38
Invest378;485;25;6;66
Invest468;1446;75;68;36
Invest169;1603;83;39;34
Invest976;1525;79;63;94
Invest334;634;33;34;65
Invest132;1684;87;11;51
Invest767;98;3;15;30
Invest677;1354;70;40;24
Invest629;866;45;17;34
Invest943;1675;87;86;30
Invest805;1293;67;62;27
Invest356;1684;87;78;45
Invest793;1123;58;18;42
Invest506;1235;64;6;48
Invest939;1104;57;60;67
Invest71;424;22;67;61
Invest986;543;28;98;66
Invest110;1425;74;18;88
Invest543;275;14;55;67
Invest654;1064;55;8;31
Invest791;233;12;69;72
Invest679;1005;52;100;4
Invest954;96;2;69;95
Invest936;1135;59;83;23
Invest116;98;3;55;56
Invest278;1408;73;12;52
Invest184;1353;70;9;46
Invest585;304;16;44;90
Invest423;95;1;88;24
Invest560;635;33;6;88
Invest611;828;43;85;91
Invest503;833;43;57;74
Invest246;1085;56;51;46
Invest810;114;6;72;44
Invest10;654;34;62;35
Invest762;1467;76;27;41
Invest386;100;5;79;55
Invest448;714;37;69;75
Invest475;1643;85;16;29
Invest484;734;38;100;52
Invest450;1894;98;12;80
Invest700;559;29;48;81
Invest331;812;42;89;68
Invest251;1407;73;34;72
Invest524;1914;99;18;1
Invest558;155;8;29;86
Invest652;504;26;12;62
Invest125;1335;69;60;53
Invest949;307;16;14;96
Invest786;1195;62;51;48
Invest98;1641;85;69;85
Invest815;1665;86;88;26
Invest516;675;35;23;6
Invest460;1275;66;85;95
Invest443;305;16;79;95
Invest606;345;18;77;82
Invest742;115;6;37;28
Invest478;1409;73;74;16
Invest482;695;36;64;26
Invest835;1214;63;24;11
Invest6;755;39;83;45
Invest54;985;51;1;13
Invest568;114;6;51;5
Invest47;655;34;10;32
Invest401;1025;53;20;43
Invest550;1045;54;93;44
Invest0;235;12;7;76
Invest618;405;21;72;54
Invest699;155;8;37;98
Invest827;1007;52;49;26
Invest70;885;46;41;82
Invest681;385;20;49;76
Invest244;465;24;35;45
Invest789;1645;85;43;61
Invest390;1467;76;39;6
Invest748;1525;79;78;77
Invest604;1835;95;57;46
Invest322;1775;92;51;63
Invest151;575;30;71;41
Invest686;885;46;48;50
Invest351;655;34;25;24
Invest831;97;3;10;100
Invest594;1292;67;34;32
Invest927;1025;53;77;6
Invest100;1066;55;33;34
Invest280;1584;82;68;23
Invest37;1137;59;79;23
Invest3;365;19;34;12
Invest609;1235;64;90;74
Invest587;1156;60;83;61
Invest69;1350;70;70;18
Invest674;905;47;52;50
Invest837;364;19;27;16
Invest761;965;50;60;26
Invest273;1446;75;19;47
Invest703;234;12;30;64
Invest572;1446;75;80;22
Invest610;1608;83;53;17
Invest905;964;50;5;9
Invest966;1539;80;80;69
Invest854;1196;62;35;32
Invest305;1445;75;88;56
Invest696;1410;73;50;6
Invest628;1815;94;51;1
Invest63;214;11;13;48
Invest790;1852;96;91;99
Invest135;1624;84;30;12
Invest375;326;17;52;11
Invest708;285;15;50;17
Invest247;714;37;40;99
Invest857;1314;68;16;35
Invest341;1140;59;11;60
Invest774;1565;81;33;16
Invest924;1757;91;93;3
Invest497;1773;92;34;23
Invest951;1215;63;31;67
Invest764;1313;68;59;26
Invest879;755;39;31;2
Invest472;1274;66;30;69
Invest980;385;20;96;51
Invest521;655;34;74;90
Invest298;1274;66;34;47
Invest917;848;44;58;68
Invest218;734;38;55;35
Invest88;1584;82;40;89
Invest106;1175;61;48;75
Invest92;1871;97;3;84
Invest28;713;37;28;39
Invest961;1062;55;94;92
Invest253;565;29;29;59
Invest416;1275;66;59;89
Invest370;754;39;39;92
Invest15;464;24;9;72
Invest491;1434;74;72;83
Invest555;654;34;46;33
Invest315;524;27;45;23
Invest979;1083;56;15;9
Invest295;1044;54;86;55
Invest553;325;17;26;80
Invest661;845;44;94;32
Invest834;794;41;97;22
Invest198;1295;67;18;98
Invest1;365;19;26;54
Invest214;1415;73;23;80
Invest402;525;27;89;41
Invest152;615;32;47;63
Invest712;444;23;32;92
Invest808;525;27;75;61
Invest237;868;45;8;62
Invest302;1174;61;7;50
Invest424;1353;70;12;70
Invest562;1546;80;83;26
Invest921;1098;57;30;98
Invest633;195;10;7;33
Invest96;885;46;36;58
Invest890;562;29;65;15
Invest312;715;37;69;50
Invest453;1097;57;54;42
Invest757;115;6;11;5
Invest212;812;42;39;33
Invest148;1524;79;44;85
Invest690;100;3;56;49
Invest957;485;25;89;2
Invest794;596;31;70;45
Invest113;1273;66;47;64
Invest487;734;38;53;69
Invest138;465;24;41;72
Invest155;986;51;56;53
Invest93;100;4;22;9
Invest588;853;44;78;97
Invest964;425;22;34;77
Invest983;485;25;100;71
Invest907;1158;60;19;98
Invest67;1503;78;46;80
Invest626;1877;97;19;58
Invest856;524;27;67;65
Invest300;844;44;91;89
Invest933;1604;83;18;50
