name;money;skill;cheat;awarness
Invest12;3093;95;75;30
Invest54;89;7;15;27
Invest62;96;15;14;8
Invest71;907;45;37;92
Invest13;93;15;29;20
Invest45;1378;67;55;34
Invest95;1603;78;10;66
Invest86;961;48;36;76
Invest87;409;17;75;94
Invest19;606;28;64;30
Invest79;333;20;52;26
Invest4;1319;63;16;60
Invest63;1764;71;60;69
Invest18;1565;66;79;25
Invest94;97;13;100;62
Invest28;1675;79;51;58
Invest47;86;2;3;72
Invest22;100;1;98;83
Invest73;493;26;68;36
Invest60;82;12;45;48
Invest85;792;44;10;75
Invest59;974;48;57;41
Invest34;98;3;64;71
Invest11;1715;67;71;5
Invest44;904;43;38;27
Invest90;1359;68;41;58
Invest9;1508;56;81;17
Invest68;1214;47;56;57
Invest10;1431;65;67;4
Invest97;1605;75;19;48
Invest69;763;45;39;37
Invest49;88;3;28;26
Invest33;1727;72;58;48
Invest46;797;46;45;60
Invest72;1138;57;50;93
Invest0;98;1;25;71
Invest1;1763;68;80;40
Invest99;1802;90;34;52
Invest58;1375;66;6;92
Invest24;727;33;84;17
Invest23;561;31;43;62
Invest32;66;5;62;88
Invest35;200;10;39;96
Invest66;1520;71;36;57
Invest67;82;14;35;44
Invest51;2008;79;77;22
Invest82;375;28;30;24
Invest25;231;12;30;85
Invest98;780;44;22;27
Invest52;1892;92;44;86
Invest31;1033;45;88;7
Invest89;2057;77;71;38
Invest14;329;20;85;7
Invest17;2346;86;89;16
Invest48;445;23;4;79
Invest64;1505;70;3;60
Invest76;230;11;80;90
Invest55;1220;60;76;9
Invest70;379;21;58;51
Invest30;367;19;8;97
Invest53;666;30;87;50
Invest6;726;31;56;66
Invest65;83;1;34;43
Invest15;1185;48;95;12
Invest39;840;46;15;10
Invest16;1631;83;45;45
Invest92;1601;78;25;10
Invest78;907;50;6;24
Invest80;351;21;83;3
Invest3;3221;99;69;75
Invest36;1072;55;45;48
Invest20;238;13;39;85
Invest29;1482;74;18;96
Invest21;561;37;22;26
Invest37;1766;86;39;86
Invest61;1270;66;32;33
Invest2;1067;44;62;57
Invest7;554;26;7;95
Invest83;613;36;8;14
Invest57;1725;88;33;45
Invest84;907;50;16;68
Invest93;1560;83;9;41
Invest96;648;33;10;57
Invest50;3212;100;65;56
Invest40;751;38;78;24
Invest41;1961;94;45;99
Invest8;238;12;1;94
Invest74;389;19;35;97
Invest56;1187;69;27;1
Invest75;580;23;79;95
Invest26;539;21;84;94
Invest5;1123;59;19;48
Invest38;1662;56;76;81
Invest43;2138;95;56;24
Invest91;493;21;78;89
Invest27;1574;85;29;29
Invest81;506;25;56;84
Invest88;478;25;22;8
Invest42;1540;76;43;93
Invest77;702;41;9;13
