name;money;skill;cheat;awarness
Invest45;89;15;40;73
Invest95;78;7;50;83
Invest3;97;1;60;82
Invest86;81;14;59;47
Invest12;2097;95;82;16
Invest20;629;39;6;83
Invest36;2295;98;90;21
Invest71;780;46;53;8
Invest54;1545;70;93;57
Invest80;1015;54;32;85
Invest87;1350;75;41;57
Invest28;1286;70;39;29
Invest62;655;38;34;59
Invest29;1889;81;51;73
Invest63;95;17;25;18
Invest21;94;12;83;14
Invest18;70;19;62;24
Invest37;69;7;12;56
Invest90;57;5;37;34
Invest4;819;36;67;69
Invest79;1002;55;1;45
Invest44;1130;57;91;33
Invest13;1481;80;31;71
Invest94;448;30;23;43
Invest9;2112;89;60;50
Invest68;1633;98;40;67
Invest2;688;34;98;15
Invest22;1106;60;63;12
Invest59;234;13;32;90
Invest60;262;15;58;65
Invest97;838;41;76;53
Invest11;1450;78;4;82
Invest34;958;55;49;24
Invest69;1484;77;42;33
Invest23;568;37;35;32
Invest72;1567;65;92;51
Invest1;444;31;100;31
Invest61;815;48;18;25
Invest35;1048;58;43;56
Invest50;78;12;86;67
Invest0;944;58;13;4
Invest99;86;14;74;16
Invest57;69;22;32;6
Invest48;94;20;70;63
Invest32;72;17;23;50
Invest93;70;14;74;68
Invest51;67;2;84;55
Invest67;97;6;47;71
Invest82;91;9;95;28
Invest26;76;14;19;43
Invest40;1807;94;27;72
Invest17;47;6;17;20
Invest7;856;54;26;32
Invest66;1679;98;44;8
Invest41;2072;91;56;66
Invest15;309;23;25;33
Invest6;2198;81;100;37
Invest8;734;43;6;57
Invest98;1706;69;57;87
Invest14;1827;67;75;96
Invest76;1458;63;96;21
Invest55;765;48;36;2
Invest70;257;11;84;97
Invest91;1030;64;24;26
Invest27;1278;64;51;22
Invest74;1908;70;97;88
Invest65;544;25;98;71
Invest81;1712;91;12;85
Invest88;375;27;81;34
Invest42;475;29;57;40
Invest39;419;20;91;42
Invest77;1955;63;93;94
Invest92;73;5;77;91
Invest19;1709;72;72;65
Invest78;1734;70;71;20
Invest73;1637;85;37;96
Invest47;1418;82;17;30
Invest85;1938;99;51;7
Invest10;1391;77;21;73
Invest58;1067;59;51;9
Invest46;713;34;60;43
Invest84;1856;98;48;70
Invest49;1523;75;68;11
Invest96;2476;95;71;49
Invest33;3001;95;82;96
Invest31;863;49;100;5
Invest38;908;49;34;79
Invest64;1425;82;32;59
Invest83;2410;94;82;59
Invest24;1481;88;44;8
Invest25;1777;95;14;87
Invest56;1492;59;79;92
Invest75;628;40;48;20
Invest52;1678;99;42;8
Invest5;693;37;35;99
Invest43;1300;71;70;30
Invest30;257;16;87;69
Invest53;1644;99;10;41
Invest89;775;46;18;13
Invest16;620;34;13;61
