name;money;skill;cheat;awarness
Invest12;1994;97;49;29
Invest71;1204;58;80;86
Invest159;864;42;27;10
Invest78;99;2;54;64
Invest100;554;27;24;97
Invest161;864;42;43;68
Invest109;100;4;71;83
Invest177;1245;60;81;95
Invest28;1519;74;41;17
Invest37;706;34;60;22
Invest80;357;17;90;29
Invest143;1685;82;41;26
Invest87;1204;58;92;100
Invest73;97;3;26;78
Invest10;1745;85;30;76
Invest85;1634;79;91;29
Invest148;1374;67;3;69
Invest191;625;30;61;7
Invest69;1215;59;49;89
Invest46;100;1;41;56
Invest62;1455;70;71;29
Invest193;1727;84;49;88
Invest19;1143;56;25;9
Invest163;1905;92;68;28
Invest1;524;25;70;29
Invest116;154;7;75;82
Invest134;1264;61;73;1
Invest127;1614;78;91;32
Invest150;234;11;63;38
Invest21;1824;89;5;8
Invest94;942;46;40;14
Invest44;824;40;14;26
Invest141;1864;90;91;34
Invest136;464;22;64;64
Invest186;1122;54;71;88
Invest114;1292;63;43;87
Invest102;1102;53;65;68
Invest23;865;42;40;87
Invest35;584;28;78;15
Invest96;707;34;57;22
Invest181;205;10;18;45
Invest58;655;32;9;46
Invest41;356;17;56;24
Invest175;365;18;34;48
Invest24;514;25;28;2
Invest50;1366;66;91;40
Invest164;685;33;84;58
Invest188;1594;77;92;3
Invest105;365;18;27;80
Invest113;1575;76;68;41
Invest138;1018;49;66;28
Invest155;905;44;23;70
Invest172;814;39;86;77
Invest48;1448;70;88;33
Invest74;924;45;7;63
Invest32;776;38;46;80
Invest82;1948;95;40;60
Invest196;234;11;69;9
Invest93;544;26;99;13
Invest26;1162;56;72;96
Invest166;1554;75;86;79
Invest183;1985;96;74;19
Invest107;99;4;37;45
Invest91;732;35;67;53
Invest157;1085;53;38;64
Invest8;1695;82;100;58
Invest146;1616;78;80;27
Invest98;1780;86;65;14
Invest56;1144;55;97;14
Invest89;777;38;38;23
Invest17;2027;98;70;46
Invest111;644;31;94;89
Invest76;624;30;52;17
Invest170;475;23;43;35
Invest179;1675;81;67;70
Invest30;194;9;93;33
Invest6;266;13;15;8
Invest144;1454;70;85;24
Invest120;254;12;98;98
Invest79;100;1;81;61
Invest75;99;3;37;86
Invest70;100;4;13;13
Invest14;97;1;54;12
Invest118;475;23;12;74
Invest65;1625;79;16;8
Invest168;1796;87;59;73
Invest95;264;13;50;37
Invest36;1005;49;25;35
Invest176;1367;66;64;19
Invest86;504;24;72;69
Invest63;154;7;77;38
Invest18;1335;65;1;87
Invest135;1864;90;82;72
Invest9;905;44;4;45
Invest162;1455;71;42;46
Invest59;1082;52;91;73
Invest174;383;18;86;11
Invest103;1716;83;53;10
Invest11;984;48;47;34
Invest137;265;13;11;56
Invest34;944;46;21;54
Invest197;1045;51;44;50
Invest190;1574;76;95;12
Invest7;234;11;94;43
Invest0;1417;69;15;80
Invest147;264;13;18;94
Invest99;1874;91;46;16
Invest180;1674;81;67;37
Invest189;2055;100;25;59
Invest123;1234;60;50;13
Invest112;392;19;18;27
Invest178;994;48;88;82
Invest25;1244;60;58;12
Invest5;1695;82;76;59
Invest4;95;2;3;41
Invest54;94;1;31;19
Invest165;100;4;13;4
Invest145;164;8;41;77
Invest38;1168;57;44;92
Invest132;244;12;25;16
Invest55;1533;74;77;55
Invest119;404;19;64;87
Invest53;1944;94;81;93
Invest182;625;30;56;38
Invest81;1785;87;8;19
Invest110;1152;56;23;6
Invest16;1594;77;97;85
Invest77;1619;79;43;14
Invest92;1264;61;84;92
Invest156;494;24;35;55
Invest169;1845;90;10;52
Invest117;1554;75;65;34
Invest194;388;19;27;70
Invest45;774;37;64;7
Invest101;1604;78;4;44
Invest167;1948;95;21;12
Invest126;1622;79;17;74
Invest20;1105;54;37;28
Invest142;984;48;11;76
Invest13;334;16;92;68
Invest192;495;24;39;56
Invest108;244;12;26;40
Invest90;797;39;48;66
Invest68;1313;64;28;23
Invest158;924;45;22;73
Invest47;424;20;58;19
Invest115;954;46;84;75
Invest199;404;19;51;82
Invest2;1825;89;45;91
Invest22;735;36;15;4
Invest153;684;33;64;64
Invest72;254;12;71;48
Invest140;194;9;96;64
Invest149;1703;83;42;88
Invest187;1345;65;63;46
Invest61;854;41;86;75
Invest49;265;13;6;26
Invest33;696;34;22;56
Invest66;174;8;60;70
Invest57;388;19;47;1
Invest128;114;5;62;91
Invest51;732;35;75;4
Invest40;2025;98;65;82
Invest104;1164;56;93;50
Invest154;1435;70;33;77
Invest173;1585;77;31;8
Invest139;2066;100;78;42
Invest31;1150;56;49;34
Invest88;1739;84;71;90
Invest121;1412;68;77;55
Invest42;314;15;53;46
Invest106;1224;59;93;80
Invest151;254;12;72;11
Invest171;674;33;23;84
Invest184;1515;73;84;88
Invest3;1785;87;24;89
Invest60;1580;77;2;99
Invest198;885;43;42;84
Invest152;1065;52;47;64
Invest125;994;48;92;36
Invest122;731;35;68;7
Invest129;1844;89;52;53
Invest67;905;44;45;92
Invest52;615;30;14;1
Invest43;1455;71;50;21
Invest131;995;48;80;3
Invest15;1805;88;25;51
Invest29;1924;93;53;74
Invest39;1884;91;69;1
Invest133;285;14;32;94
Invest160;1386;67;71;42
Invest97;1785;87;17;46
Invest84;1706;83;22;67
Invest130;534;26;25;65
Invest64;434;21;39;12
Invest185;605;29;73;50
Invest124;1355;66;46;90
Invest83;234;11;62;94
Invest27;412;20;33;76
Invest195;1742;85;40;74
